row_index,query_title,query_year,tmdb_id,matched_title,original_title,release_date,budget_usd,revenue_usd,profit_usd,revenue_to_budget_ratio,runtime_min,vote_average,vote_count,popularity,genres,keywords,status,original_language,imdb_id,homepage,found,_error
0,The Godfather,1972.0,238.0,The Godfather,The Godfather,1972-03-14,6000000.0,245066411.0,239066411.0,40.8444,175.0,8.7,21771.0,27.4415,"Drama, Crime","based on novel or book, loss of loved one, love at first sight, italy, gangster, symbolism, patriarch, europe, organized crime, mafia, religion, lawyer, revenge motive, crime family, sicilian mafia, religious hypocrisy, gun violence, rise to power, dead horse, gang violence, 1940s, 1950s, complex, mafia war, amused, compassionate, complicated, enchant, le parrain, ο νονός, крёстный отец",Released,en,tt0068646,http://www.thegodfather.com/,True,
1,The Dark Knight,2008.0,155.0,The Dark Knight,The Dark Knight,2008-07-16,185000000.0,1004558444.0,819558444.0,5.43,152.0,8.522,34300.0,31.0804,"Drama, Action, Crime, Thriller","sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir, bold",Released,en,tt0468569,https://www.warnerbros.com/movies/dark-knight/,True,
2,The Godfather: Part II,1974.0,240.0,The Godfather Part II,The Godfather Part II,1974-12-20,13000000.0,102600000.0,89600000.0,7.8923,202.0,8.571,13143.0,15.7352,"Drama, Crime","new year's eve, new york city, based on novel or book, italian american, cuba, italy, gangster, praise, blackmail, symbolism, senator, revenge, murder, betrayal, organized crime, extortion, mafia, lawyer, suburb, sicilian mafia, corrupt politician, aggressive, 1950s, new year, vindictive, cautionary, violence, admiring, audacious",Released,en,tt0071562,,True,
3,12 Angry Men,1957.0,389.0,12 Angry Men,12 Angry Men,1957-04-10,397751.0,4360000.0,3962249.0,10.9616,97.0,8.548,9355.0,14.3753,Drama,"death penalty, anonymity, court case, court, judge, jurors, father murder, class, heat, innocence, puerto rico, based on play or musical, black and white, courtroom, courtroom drama, dialog driven, persidangan, sidang",Released,en,tt0050083,,True,
4,The Lord of the Rings: The Return of the King,2003.0,122.0,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003-12-17,94000000.0,1118888979.0,1024888979.0,11.9031,201.0,8.488,25395.0,23.9887,"Adventure, Fantasy, Action","army, based on novel or book, elves, dwarf, magic, kingdom, obsession, bravery, castle, volcano, giant spider, sequel, honor, king, brutality, madness, split personality, fantasy world, wizard, epic battle, journey, ring, quest, live action and animation, hero's journey, high fantasy, wraith, sword and sorcery, power madness, great war, trekking, good versus evil, sword making, war, admiring, winged creatures, armies, spirits",Released,en,tt0167260,http://www.lordoftherings.net,True,
5,Pulp Fiction,1994.0,680.0,Pulp Fiction,Pulp Fiction,1994-09-10,8000000.0,213928762.0,205928762.0,26.7411,154.0,8.487,29009.0,19.4002,"Thriller, Crime, Comedy, Drama","drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir",Released,en,tt0110912,https://www.miramax.com/movie/pulp-fiction/,True,
6,Schindler's List,1993.0,424.0,Schindler's List,Schindler's List,1993-12-15,22000000.0,321365567.0,299365567.0,14.6075,195.0,8.565,16665.0,25.0724,"Drama, History, War","factory, hero, nazi, concentration camp, ss (nazi schutzstaffel), holocaust (shoah), world war ii, ghetto, jew persecution, kraków, poland, defense industry, auschwitz-birkenau concentration camp, biography, based on true story, industrialist, historical fiction, black and white, train, poland, evil, weapons manufacturer, nazi train",Released,en,tt0108052,http://www.schindlerslist.com/,True,
7,Inception,2010.0,27205.0,Inception,Inception,2010-07-15,160000000.0,839030630.0,679030630.0,5.2439,148.0,8.37,37851.0,26.2684,"Action, Science Fiction, Adventure","rescue, mission, dreams, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious, introspective",Released,en,tt1375666,https://www.warnerbros.com/movies/inception,True,
8,Fight Club,1999.0,550.0,Fight Club,Fight Club,1999-10-15,63000000.0,100853753.0,37853753.0,1.6009,139.0,8.437,30669.0,26.7949,"Drama, Thriller","dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness",Released,en,tt0137523,http://www.foxmovies.com/movies/fight-club,True,
9,The Lord of the Rings: The Fellowship of the Ring,2001.0,120.0,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,93000000.0,871368364.0,778368364.0,9.3696,179.0,8.424,26315.0,27.2302,"Adventure, Fantasy, Action","based on novel or book, elves, dwarf, magic, obsession, bravery, fireworks, mine, maze, mountain, castle, birthday party, troll, battle, demon, blizzard, uncle nephew relationship, fantasy world, journey, ring, invisibility, live action and animation, hero's journey, wraith, sword and sorcery, trekking, good versus evil, inspirational",Released,en,tt0120737,http://www.lordoftherings.net/,True,
10,Forrest Gump,1994.0,13.0,Forrest Gump,Forrest Gump,1994-06-23,55000000.0,677387716.0,622387716.0,12.3161,142.0,8.465,28562.0,18.2939,"Comedy, Drama, Romance","new year's eve, vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, chameleon, single mother, cynical, blunt, military, anti war protest, 1960s, college american football, mother son relationship, america, arrogant, cliché, disapproving, melodramatic, feel-good",Released,en,tt0109830,https://www.paramountmovies.com/movies/forrest-gump,True,
11,"Il buono, il brutto, il cattivo",1966.0,429.0,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",1966-12-22,1200000.0,38900000.0,37700000.0,32.4167,161.0,8.465,9138.0,11.8629,Western,"gold, army, bounty hunter, hitman, refugee, anti hero, moral ambiguity, gallows, outlaw, gun battle, shootout, spaghetti western, graveyard, american civil war, stolen gold, complex, hidden gold, gun death, cemetary, confederate gold",Released,it,tt0060196,"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",True,
12,The Lord of the Rings: The Two Towers,2002.0,121.0,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002-12-18,79000000.0,926287400.0,847287400.0,11.7252,179.0,8.4,22854.0,20.5051,"Adventure, Fantasy, Action","mission, army, based on novel or book, elves, dwarf, magic, obsession, bravery, castle, reincarnation, sequel, battle, brutality, guide, split personality, marsh, fantasy world, wizard, journey, ring, live action and animation, hero's journey, high fantasy, wraith, sword and sorcery, trekking, evil spell, good versus evil, trees, admiring, amused, winged creatures",Released,en,tt0167261,http://www.lordoftherings.net/,True,
13,The Matrix,1999.0,603.0,The Matrix,The Matrix,1999-03-31,63000000.0,463517383.0,400517383.0,7.3574,136.0,8.231,26721.0,19.3574,"Action, Science Fiction","man vs machine, martial arts, dreams, artificial intelligence (a.i.), saving the world, hacker, self sacrifice, virtual reality, fight, prophecy, truth, philosophy, dystopia, insurgence, simulated reality , cyberpunk, dream world, messiah, action hero, gnosticism, allegory of the cave",Released,en,tt0133093,http://www.warnerbros.com/matrix,True,
14,Goodfellas,1990.0,769.0,GoodFellas,GoodFellas,1990-09-12,25000000.0,46800000.0,21800000.0,1.872,145.0,8.455,13577.0,13.5625,"Drama, Crime","prison, florida, new york city, based on novel or book, gangster, mass murder, drug trafficking, 1970s, irish-american, gore, biography, based on true story, murder, organized crime, mafia, brooklyn, new york city, crime epic, tampa, florida",Released,en,tt0099685,http://www.warnerbros.com/goodfellas,True,
15,Star Wars: Episode V - The Empire Strikes Back,1980.0,1891.0,The Empire Strikes Back,The Empire Strikes Back,1980-05-20,18000000.0,538400000.0,520400000.0,29.9111,124.0,8.395,17630.0,10.4949,"Adventure, Action, Science Fiction","rebellion, android, spacecraft, asteroid, rebel, space battle, snowstorm, space colony, swamp, space opera, nostalgic, artic, excited, star wars",Released,en,tt0080684,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,True,
16,One Flew Over the Cuckoo's Nest,1975.0,510.0,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1975-11-19,3000000.0,108981275.0,105981275.0,36.3271,133.0,8.413,10915.0,8.1877,Drama,"mentally disabled, friendship, based on novel or book, nurse, lunatic asylum, insane asylum, oregon, usa, hospital, medication, female villain, shock treatment, depressing, informative",Released,en,tt0073486,,True,
17,Hamilton,2020.0,556574.0,Hamilton,Hamilton,2025-09-05,12500000.0,0.0,,,160.0,1.0,1.0,5.7054,"History, Drama","adultery, corruption, upper class, presidential election, musical, biography, stage show, based on play or musical, 18th century, broadway musical, pistol duel, american revolution, revolutionary war, founding fathers, stage musical, filmed play, live theatre, filmed theater, musical proshot",Released,en,tt8503618,https://www.disneyplus.com/movies/hamilton/3uPmBHWlO6HJ,True,
18,Gisaengchung,2019.0,496243.0,Parasite,기생충,2019-05-30,11363000.0,257591776.0,246228776.0,22.6693,133.0,8.5,19413.0,20.7184,"Comedy, Thriller, Drama","dark comedy, private lessons, birthday party, con artist, working class, infiltration, psychological thriller, class differences, housekeeper, tutor, family, hidden room, unemployed, hiding in attic, domestic worker, wealthy family, south korea, caste violence, seoul, south korea",Released,ko,tt6751668,https://www.parasite-movie.com/,True,
19,Soorarai Pottru,2020.0,595228.0,Soorarai Pottru,சூரரைப் போற்று,2020-11-12,0.0,0.0,,,149.0,7.725,100.0,2.6091,"Drama, Action",biographical fiction,Released,ta,tt10189514,,True,
20,Interstellar,2014.0,157336.0,Interstellar,Interstellar,2014-11-05,165000000.0,746606706.0,581606706.0,4.5249,169.0,8.46,37727.0,45.2083,"Adventure, Drama, Science Fiction","rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, hibernation, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, space adventure, time paradox, cryonics, father daughter relationship, 2060s, cornfield, time manipulation",Released,en,tt0816692,http://www.interstellarmovie.net/,True,
21,Cidade de Deus,2002.0,598.0,City of God,Cidade de Deus,2002-08-30,3300000.0,30641770.0,27341770.0,9.2854,129.0,8.43,7767.0,8.67,"Drama, Crime","street gang, photographer, gangster, rio de janeiro, gang war, ghetto, based on true story, coming of age, introspective, critical, tense, conceited",Released,pt,tt0317248,http://cidadededeus.globo.com/,True,
22,Sen to Chihiro no kamikakushi,2001.0,129.0,Spirited Away,千と千尋の神隠し,2001-07-20,19000000.0,274925095.0,255925095.0,14.4697,125.0,8.535,17425.0,32.6231,"Animation, Family, Fantasy","witch, parent child relationship, darkness, bath house, magic, spirit, parallel world, amusement park, youkai, japanese mythology, anime",Released,ja,tt0245429,http://movies.disney.com/spirited-away,True,
23,Saving Private Ryan,1998.0,857.0,Saving Private Ryan,Saving Private Ryan,1998-07-24,70000000.0,481840909.0,411840909.0,6.8834,169.0,8.22,16479.0,14.7971,"Drama, History, War","dying and death, epic, self sacrifice, bravery, world war ii, duty, normandy, france, troops, waffen ss, omaha beach, rescue mission, cowardice, us army, based on true story, d-day, military, german soldier, military operation, 1940s, bloody deaths, u.s. army soldier, u.s. army ranger, massive casualties",Released,en,tt0120815,,True,
24,The Green Mile,1999.0,497.0,The Green Mile,The Green Mile,1999-12-10,60000000.0,286801374.0,226801374.0,4.78,189.0,8.503,18322.0,17.3827,"Fantasy, Drama, Crime","mentally disabled, based on novel or book, southern usa, psychopath, death row, jail guard, supernatural, great depression, prison guard, jail, electric chair, torture, magic realism, healing, grim, 1930s, abuse of power, depressed, ambiguous, authoritarian, cruel, hopeful",Released,en,tt0120689,http://thegreenmile.warnerbros.com/,True,
25,La vita è bella,1997.0,637.0,Life Is Beautiful,La vita è bella,1997-12-20,20000000.0,230098753.0,210098753.0,11.5049,116.0,8.442,13507.0,9.2274,"Comedy, Drama","dying and death, bookshop, love of one's life, nazi, self sacrifice, loss of loved one, italy, riddle, mass murder, concentration camp, fascism, holocaust (shoah), world war ii, deportation, jew persecution, story teller, riding a bicycle, national socialism, dark comedy, charade, concentration camp prisoner, romcom, dark, war, nazi germany, admiring",Released,it,tt0118799,,True,
26,Se7en,1995.0,807.0,Se7en,Se7en,1995-09-22,33000000.0,327311859.0,294311859.0,9.9185,127.0,8.4,22020.0,21.7971,"Crime, Mystery, Thriller","rage and hate, police, s.w.a.t., sadism, self-fulfilling prophecy, psychopath, detective, investigation, insomnia, murder, serial killer, religion, shootout, corpse, macabre, seven deadly sins, depravity, neo-noir, calm, urban gothic, ambiguous, ominous, seven: los siete pecados capitales",Released,en,tt0114369,https://www.warnerbros.com/movies/seven,True,
27,The Silence of the Lambs,1991.0,274.0,The Silence of the Lambs,The Silence of the Lambs,1991-02-14,19000000.0,272742922.0,253742922.0,14.3549,119.0,8.346,17049.0,3.1971,"Crime, Thriller, Drama","based on novel or book, kidnapping, psychopath, fbi, scientific study, murder, serial killer, psychological thriller, brutality, cannibal, psychiatrist, moth, virginia, disturbed, neo-noir, twisted, skinning, past history, suspenseful, foreboding, ominous, psychological profiling",Released,en,tt0102926,,True,
28,Star Wars,1977.0,11.0,Star Wars,Star Wars,1977-05-25,11000000.0,775398007.0,764398007.0,70.4907,121.0,8.205,21430.0,18.3074,"Adventure, Action, Science Fiction","empire, galaxy, rebellion, android, hermit, smuggling (contraband), freedom, rebel, rescue mission, space, planet, desert, super power, oppression, space opera, wizard, totalitarianism, awestruck, excited",Released,en,tt0076759,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,True,
29,Seppuku,1962.0,14537.0,Harakiri,切腹,1962-09-15,0.0,0.0,,,135.0,8.4,1110.0,3.1531,"Action, Drama, History","suicide, japan, samurai, asia, flashback, revenge, poverty, black and white, seppuku, ronin, jidaigeki, edo period, 17th century, shogunate, bushi, bakumatsu, distressing, excited",Released,ja,tt0056058,,True,
30,Shichinin no samurai,1954.0,346.0,Seven Samurai,七人の侍,1954-04-26,2000000.0,105000000.0,103000000.0,52.5,207.0,8.456,3970.0,8.0504,"Action, Drama","epic, martial arts, japan, samurai, sword, peasant, village, looting, rice, fencing, moral ambiguity, black and white, battle, bandit, practice, jidaigeki, domineering, 16th century, plunder, bushi, awestruck",Released,ja,tt0047478,,True,
31,It's a Wonderful Life,1946.0,1585.0,It's a Wonderful Life,It's a Wonderful Life,1946-12-20,3180000.0,9644124.0,6464124.0,3.0327,130.0,8.3,4569.0,6.9297,"Drama, Family, Fantasy","small town, angel, suicide attempt, holiday, bank, great depression, family business , black and white, nervous breakdown, old house, newlywed, magic realism, told in flashback, alternative reality, guardian angel, high school dance, christmas, sentimental, cheerful, optimistic, xmas eve",Released,en,tt0038650,,True,
32,Joker,2019.0,475557.0,Joker,Joker,2019-10-01,55000000.0,1078958629.0,1023958629.0,19.6174,122.0,8.133,26728.0,20.8481,"Crime, Thriller, Drama","dreams, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, cynical, mental illness, anarchy, character study, clown makeup, prophetic, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness",Released,en,tt7286456,http://www.jokermovie.net/,True,
33,Whiplash,2014.0,244786.0,Whiplash,Whiplash,2014-10-10,3300000.0,50307484.0,47007484.0,15.2447,107.0,8.4,15864.0,18.8693,"Drama, Music","new york city, concert, jazz, musician, obsession, music teacher, conservatory, drums, montage, blunt, perfectionist, perfection, public humiliation, jazz band, young adult, music school, based on short, intense, drummer",Released,en,tt2582802,https://www.sonyclassics.com//film//whiplash#,True,
34,The Intouchables,2011.0,77338.0,The Intouchables,Intouchables,2011-11-02,13000000.0,426590315.0,413590315.0,32.8146,113.0,8.3,17800.0,12.0438,"Drama, Comedy","friendship, male friendship, based on true story, masseuse, aristocrat, paragliding, interracial friendship, unlikely friendship, duringcreditsstinger, quadriplegic, quadriplegia, feel good, intouchables",Released,fr,tt1675434,,True,
35,The Prestige,2006.0,1124.0,The Prestige,The Prestige,2006-10-17,40000000.0,109676311.0,69676311.0,2.7419,130.0,8.204,16746.0,16.5217,"Drama, Mystery, Science Fiction","dying and death, suicide, class society, london, england, magic, competition, obsession, hostility, class, diary, twist, tricks, illusion, rivalry, partner, steampunk, cruelty, hanging, jail cell, 19th century, nikola tesla, magician, tesla coil, bittersweet, secret, absurd, mind-blowing",Released,en,tt0482571,http://wwws.warnerbros.de/theprestige/,True,
36,The Departed,2006.0,1422.0,The Departed,The Departed,2006-10-04,90000000.0,291465000.0,201465000.0,3.2385,151.0,8.16,15486.0,9.6465,"Drama, Thriller, Crime","police, undercover, boston, massachusetts, gangster, irish-american, crime boss, friends, remake, mobster, organized crime, mafia, undercover cop, mole, state police, police training, realtor, dreary, frightened",Released,en,tt0407887,http://thedeparted.com,True,
37,The Pianist,2002.0,423.0,The Pianist,The Pianist,2002-09-17,35000000.0,120098945.0,85098945.0,3.4314,150.0,8.381,9651.0,10.0598,"Drama, War","concert, nazi, resistance, warsaw ghetto, polish resistance, homeland, holocaust (shoah), hunger, world war ii, prisoner of war, ghetto, deportation, jew persecution, liberation, biography, survival, based on memoir or autobiography, pianist, poland, angry, complex, compassionate",Released,en,tt0253474,http://www.thepianistmovie.com/,True,
38,Gladiator,2000.0,98.0,Gladiator,Gladiator,2000-05-04,103000000.0,465516248.0,362516248.0,4.5196,155.0,8.221,20001.0,17.5788,"Action, Drama, Adventure","epic, gladiator, rome, italy, arena, senate, roman empire, parent child relationship, emperor, slavery, ancient rome, revenge, battlefield, slave auction, historical fiction, ancient world, combat, chariot, philosopher, barbarian horde, 2nd century, successor, commodus, maximus, serene, defiant, gladiador",Released,en,tt0172495,,True,
